tuid,source,target,formality_type
1,"""Curiouser and curiouser!"" cried Alice (she was so much surprised, that for the moment she quite forgot how to speak good English);","""De plus très-curieux en plus très-curieux!"" s'écria Alice (sa surprise était si grande qu'elle ne pouvait s'exprimer correctement):",Not Applicable
2,"""now I'm opening out like the largest telescope that ever was! Good-bye, feet!"" (for when she looked down at her feet, they seemed to be almost out of sight, they were getting so far off).","""Voilà que je m'allonge comme le plus grand télescope qui fût jamais! Adieu mes pieds!"" (Elle venait de baisser les yeux, et ses pieds lui semblaient s'éloigner à perte de vue.)",Not Applicable
3,"""Oh, my poor little feet, I wonder who will put on your shoes and stockings for you now, dears? I'm sure I shan't be able! I shall be a great deal too far off to trouble myself about you: you must manage the best way you can;—but I must be kind to them,"" thought Alice, ""or perhaps they won't walk the way I want to go! Let me see: I'll give them a new pair of boots every Christmas.","""Oh! mes pauvres petits pieds! Qui vous mettra vos bas et vos souliers maintenant, mes mignons? Quant à moi, je ne le pourrai certainement pas! Je serai bien trop loin pour m'occuper de vous: arrangez-vous du mieux que vous pourrez. --Il faut cependant que je sois bonne pour eux,"" pensa Alice, ""sans cela ils refuseront peut-être d'aller du côté que je voudrai. Ah! je sais ce que je ferai: je leur donnerai une belle paire de bottines à Noël.""",Formal
4,And she went on planning to herself how she would manage it.,Puis elle chercha dans son esprit comment elle s'y prendrait.,Not Applicable
5,"""They must go by the carrier,"" she thought; ""and how funny it'll seem, sending presents to one's own feet! And how odd the directions will look!","""Il faudra les envoyer par le messager,"" pensa-t-elle; ""quelle étrange chose d'envoyer des présents à ses pieds! Et l'adresse donc! C'est cela qui sera drôle.",Not Applicable
6,"Alice's Right Foot, Esq., Hearthrug, near the Fender, (with Alice's love).","A Monsieur Lepiédroit d'Alice, Tapis du foyer, Près le garde-feu.(De la part de Mlle Alice.)",Not Applicable
7,"Oh dear, what nonsense I'm talking!""","Oh! que d'enfantillages je dis là!""",Not Applicable
8,"Just then her head struck against the roof of the hall: in fact she was now more than nine feet high, and she at once took up the little golden key and hurried off to the garden door.","Au même instant, sa tête heurta contre le plafond de la salle: c'est qu'elle avait alors un peu plus de neuf pieds de haut. Vite elle saisit la petite clef d'or et courut à la porte du jardin.",Not Applicable
9,"Poor Alice! It was as much as she could do, lying down on one side, to look through into the garden with one eye; but to get through was more hopeless than ever: she sat down and began to cry again.","Pauvre Alice! C'est tout ce qu'elle put faire, après s'être étendue de tout son long sur le côté, que de regarder du coin de l'œil dans le jardin. Quant à traverser le passage, il n'y fallait plus songer. Elle s'assit donc, et se remit à pleurer.",Not Applicable
10,"""You ought to be ashamed of yourself,"" said Alice, ""a great girl like you,"" (she might well say this), ""to go on crying in this way! Stop this moment, I tell you!"" But she went on all the same, shedding gallons of tears, until there was a large pool all round her, about four inches deep and reaching half down the hall.","""Quelle honte!"" dit Alice. ""Une grande fille comme vous"" ('grande' était bien le mot) ""pleurer de la sorte! Allons, finissez, vous dis-je!"" Mais elle continua de pleurer, versant des torrents de larmes, si bien qu'elle se vit à la fin entourée d'une grande mare, profonde d'environ quatre pouces et s'étendant jusqu'au milieu de la salle.",Formal
11,"After a time she heard a little pattering of feet in the distance, and she hastily dried her eyes to see what was coming.","Quelque temps après, elle entendit un petit bruit de pas dans le lointain; vite, elle s'essuya les yeux pour voir ce que c'était.",Not Applicable
12,"It was the White Rabbit returning, splendidly dressed, with a pair of white kid gloves in one hand and a large fan in the other: he came trotting along in a great hurry, muttering to himself as he came, ""Oh! the Duchess, the Duchess! Oh! won't she be savage if I've kept her waiting!""","C'était le Lapin Blanc, en grande toilette, tenant d'une main une paire de gants paille, et de l'autre un large éventail. Il accourait tout affairé, marmottant entre ses dents: ""Oh! la Duchesse, la Duchesse! Elle sera dans une belle colère si je l'ai fait attendre!""",Not Applicable
